output_area,ethnicity,0,15,30,65
176800,European,359,378,502,104
176900,European,352,277,786,322
177000,European,345,313,866,305
177100,European,418,403,803,297
177200,European,464,512,802,286
177300,European,251,225,414,217
177400,European,298,304,592,407
177500,European,257,218,505,268
177600,European,289,276,666,318
177700,European,481,511,1070,408
177800,European,298,402,462,233
177900,European,600,557,1122,333
178000,European,422,503,936,266
178100,European,497,554,1077,387
178200,European,460,495,801,265
178300,European,123,411,692,223
178400,European,222,176,319,181
178500,European,358,421,713,204
178600,European,140,93,140,67
178700,European,168,312,350,150
178800,European,404,471,628,139
178900,European,33,92,160,30
179100,European,202,217,421,186
179200,European,57,529,132,30
179300,European,253,409,794,183
179400,European,56,234,346,100
179500,European,315,548,906,352
179600,European,326,553,667,606
179700,European,236,622,676,255
179800,European,167,297,515,297
179900,European,112,1230,237,29
180000,European,187,358,373,112
180100,European,221,363,489,129
180200,European,528,573,1149,371
180300,European,267,300,419,142
180400,European,276,219,389,126
180500,European,241,246,416,121
180600,European,266,512,546,157
180700,European,287,612,560,165
180800,European,212,342,364,173
180900,European,315,317,511,161
181000,European,266,276,599,276
181100,European,251,330,673,508
181200,European,361,364,808,333
181400,European,285,189,621,138
181500,European,306,208,679,197
181600,European,304,307,570,163
181700,European,211,180,491,123
181800,European,296,183,640,231
181900,European,242,137,475,162
182000,European,101,107,293,85
182100,European,271,214,550,177
182200,European,203,167,461,154
182300,European,142,100,306,89
182500,European,460,333,1004,252
182600,European,342,251,703,174
182700,European,362,282,893,627
182800,European,476,385,983,501
182900,European,255,150,457,172
183000,European,269,155,519,307
183100,European,173,187,371,109
183200,European,88,88,268,316
183300,European,155,139,363,155
183400,European,180,182,405,188
183500,European,190,163,469,386
183600,European,233,228,453,293
183700,European,295,232,627,295
183800,European,382,374,734,312
183900,European,322,325,710,376
184000,European,259,243,537,310
184200,European,317,283,688,389
184300,European,180,163,457,299
184400,European,257,190,481,421
184500,European,82,51,202,91
184600,European,328,238,686,182
184800,European,305,312,651,242
184900,European,311,140,363,96
185000,European,151,110,293,41
185200,European,90,48,257,180
185300,European,283,192,585,173
185400,European,251,158,407,98
185500,European,363,335,652,422
185600,European,366,248,609,169
185700,European,227,237,552,101
185800,European,439,303,830,260
185900,European,407,346,844,213
186000,European,493,390,1045,773
186100,European,259,210,458,134
186200,European,203,153,421,235
186300,European,73,85,199,81
186400,European,230,144,376,244
186500,European,228,149,376,187
186600,European,244,181,367,197
186700,European,80,73,195,111
186800,European,358,257,515,241
187000,European,109,82,313,119
187100,European,167,205,427,159
187200,European,203,131,355,121
187300,European,233,185,479,337
187400,European,160,129,317,162
187500,European,166,112,404,118
187700,European,340,241,626,176
187800,European,270,224,684,151
187900,European,199,77,481,340
188000,European,318,192,885,313
188200,European,206,150,386,81
188300,European,245,162,714,421
188400,European,230,164,582,457
188500,European,338,218,746,474
188700,European,236,205,388,112
188800,European,235,285,553,336
188900,European,340,311,677,263
189000,European,340,254,920,500
189100,European,432,290,900,540
189200,European,295,267,887,559
189300,European,364,241,752,301
189400,European,114,80,329,355
189600,European,80,53,210,96
189700,European,284,217,658,449
201600,European,309,275,666,139
201800,European,310,257,547,92
190200,European,273,231,894,688
190300,European,191,174,725,458
190400,European,105,63,290,215
190500,European,413,311,1314,715
190600,European,504,356,1083,1668
190900,European,556,348,1411,416
191000,European,434,210,1035,1197
191100,European,107,93,294,141
191200,European,260,227,744,263
191300,European,372,251,866,284
191400,European,386,265,908,200
191600,European,257,224,699,191
191700,European,400,411,1031,255
191800,European,301,221,775,251
191900,European,393,322,710,296
192000,European,321,318,723,226
192100,European,526,433,1163,900
192300,European,83,90,209,97
192400,European,103,65,328,98
192500,European,542,357,1068,262
192600,European,474,270,1114,628
192800,European,290,640,1374,723
192900,European,342,267,857,623
193000,European,370,231,746,1295
193100,European,655,525,1271,299
193200,European,580,436,1422,1002
193300,European,668,434,1371,581
193400,European,441,372,827,356
193500,European,551,429,1409,954
193600,European,451,361,860,327
193700,European,482,444,1218,346
193800,European,169,333,908,781
193900,European,18,53,114,32
194000,European,339,323,757,384
194100,European,278,204,540,236
194200,European,184,122,476,136
194300,European,495,369,1110,451
194400,European,204,241,549,429
194500,European,26,32,74,8
194600,European,486,535,944,354
194700,European,80,86,199,130
194800,European,480,475,1522,884
194900,European,405,354,996,647
195000,European,51,38,110,28
195100,European,598,398,1150,458
195200,European,411,427,862,647
195300,European,299,247,479,187
195400,European,572,364,1195,1156
195500,European,404,376,819,310
195600,European,245,175,531,178
195700,European,117,133,203,44
195800,European,315,331,745,872
195900,European,359,321,842,467
196000,European,428,371,899,568
196100,European,106,69,226,71
196200,European,491,375,1347,1141
196300,European,233,172,485,186
196400,European,473,389,1199,642
196500,European,61,89,113,34
196600,European,480,354,857,203
196700,European,372,240,734,325
196800,European,515,303,1081,450
196900,European,627,385,1216,336
197000,European,536,438,936,253
197100,European,481,356,1330,1010
197200,European,482,365,891,246
197300,European,525,297,918,371
197400,European,442,326,971,340
197500,European,709,313,1262,404
197600,European,683,330,1078,569
197700,European,246,213,675,172
197900,European,247,162,525,160
198000,European,136,86,449,160
198100,European,186,178,418,215
198200,European,192,151,401,184
198400,European,163,145,398,217
198500,European,132,113,187,60
198600,European,213,168,354,131
198700,European,172,142,493,233
198800,European,209,164,451,216
198900,European,209,165,333,144
199000,European,239,197,302,98
199100,European,369,266,448,124
199200,European,325,270,684,361
199400,European,197,202,322,97
199500,European,249,219,392,96
199600,European,303,234,547,203
199700,European,178,154,251,98
199800,European,87,87,171,89
199900,European,138,130,303,123
200000,European,209,162,487,219
200200,European,243,191,362,109
200300,European,88,192,419,241
200400,European,144,106,330,111
200500,European,179,184,418,358
200600,European,314,185,659,290
200700,European,188,154,495,360
200800,European,216,187,660,462
200900,European,390,254,609,257
201000,European,149,119,343,127
201200,European,116,155,480,420
201300,European,84,73,280,136
201400,European,329,282,651,367
201500,European,483,319,1094,406
201700,European,231,183,654,212
201900,European,120,87,440,137
202000,European,255,178,523,198
202100,European,137,115,369,127
202200,European,225,146,346,151
202300,European,320,239,712,252
202400,European,124,100,217,75
202500,European,247,134,491,152
202600,European,400,278,636,273
202700,European,299,273,843,613
202800,European,357,265,666,609
202900,European,229,227,570,441
203000,European,191,117,511,278
203100,European,120,86,276,76
203200,European,420,329,1199,839
203400,European,165,122,279,74
203500,European,201,114,320,92
203600,European,85,54,121,47
203700,European,280,217,565,465
203900,European,310,231,545,426
204100,European,147,119,455,267
204200,European,56,33,161,102
204300,European,116,72,254,192
204400,European,264,227,471,261
204500,European,107,102,271,162
204700,European,72,41,141,51
204800,European,237,159,463,138
204900,European,64,39,89,32
205000,European,62,45,126,64
205100,European,226,156,455,112
205200,European,194,128,368,97
205300,European,98,75,258,75
205400,European,463,336,1065,379
205500,European,104,79,283,657
205600,European,116,103,317,176
205700,European,139,141,336,182
205800,European,245,176,469,282
205900,European,161,137,288,112
206000,European,172,172,329,167
206100,European,207,170,387,200
206200,European,141,121,330,107
206300,European,229,176,365,134
206400,European,210,163,424,227
206500,European,127,106,270,130
206600,European,287,180,623,265
206700,European,266,193,578,289
206900,European,256,187,523,326
207000,European,236,192,382,145
207100,European,176,132,198,81
207200,European,196,140,277,88
207300,European,336,131,674,185
207400,European,128,86,211,65
207600,European,106,70,231,96
207700,European,58,24,110,39
207800,European,333,248,608,400
207900,European,79,69,235,137
208000,European,313,233,723,169
208100,European,223,145,608,123
208200,European,258,145,598,151
208300,European,392,284,1142,347
208400,European,143,121,376,157
208500,European,67,128,299,83
208600,European,108,150,295,122
208700,European,215,150,484,177
208800,European,169,161,217,66
209000,European,239,202,348,93
209100,European,249,180,323,146
209200,European,247,159,277,152
209400,European,424,352,784,551
209500,European,205,170,319,225
209600,European,331,237,800,341
209700,European,269,325,655,280
209800,European,346,250,687,309
209900,European,335,333,657,306
210000,European,376,290,745,439
210200,European,311,205,715,295
210300,European,218,246,551,281
210400,European,170,126,393,102
210500,European,27,92,106,38
210600,European,363,285,727,303
210700,European,241,265,583,244
