geography,Method of Travel to Work: Drive_a_private_car_truck_or_van; measures: Value,Method of Travel to Work: Drive_a_company_car_truck_or_van; measures: Value,Method of Travel to Work: Passenger_in_a_car_truck_van_or_company_bus; measures: Value,Method of Travel to Work: Public_bus; measures: Value,Method of Travel to Work: Train; measures: Value,Method of Travel to Work: Bicycle; measures: Value,Method of Travel to Work: Ferry; measures: Value,Method of Travel to Work: Other; measures: Value,Method of Travel to Work: Total; measures: Value,date,geography code,Rural Urban
128900,885,93,9,27,36,0,0,0,1539,2018,128900,Total
129000,360,18,9,0,45,0,0,0,711,2018,129000,Total
129100,903,66,24,6,117,0,0,6,1623,2018,129100,Total
129200,678,57,0,93,6,15,0,0,1359,2018,129200,Total
129300,504,39,0,57,0,18,93,0,1146,2018,129300,Total
129400,426,36,0,15,0,6,150,0,1065,2018,129400,Total
129500,519,60,0,15,21,0,0,0,876,2018,129500,Total
129600,666,63,6,6,36,0,0,0,1182,2018,129600,Total
129700,528,36,6,75,0,24,0,0,1311,2018,129700,Total
129800,429,15,0,60,0,9,0,0,981,2018,129800,Total
129900,1017,75,6,144,0,33,0,0,1944,2018,129900,Total
130000,327,81,0,0,21,0,0,0,780,2018,130000,Total
130100,663,51,0,6,54,0,0,0,1209,2018,130100,Total
130200,330,15,0,63,0,9,0,9,1038,2018,130200,Total
130300,618,33,0,111,0,6,0,9,1386,2018,130300,Total
130400,357,21,0,111,0,0,0,6,981,2018,130400,Total
130500,480,0,6,0,12,0,0,0,828,2018,130500,Total
130600,795,45,9,66,21,0,0,0,1443,2018,130600,Total
130700,630,51,6,30,0,21,258,0,1641,2018,130700,Total
130800,393,12,0,0,48,0,0,0,744,2018,130800,Total
130900,870,60,6,6,90,0,0,0,1569,2018,130900,Total
131000,369,9,0,9,24,0,0,0,738,2018,131000,Total
131100,693,18,0,96,6,0,0,0,1305,2018,131100,Total
131200,567,30,0,153,0,27,0,12,1743,2018,131200,Total
131300,33,0,0,0,6,0,0,0,516,2018,131300,Total
131400,159,6,6,6,0,18,162,15,876,2018,131400,Total
131500,633,48,0,0,93,0,0,0,1257,2018,131500,Total
131600,579,15,0,147,0,24,0,6,1524,2018,131600,Total
131700,780,36,18,33,27,0,0,0,1302,2018,131700,Total
131800,612,48,0,129,0,48,0,6,2274,2018,131800,Total
131900,387,12,0,33,63,6,0,0,948,2018,131900,Total
132000,972,45,0,153,66,0,0,0,1830,2018,132000,Total
132100,546,18,0,186,0,0,0,0,1374,2018,132100,Total
132200,798,21,0,84,123,12,0,0,1677,2018,132200,Total
132300,528,18,6,24,39,0,0,0,1047,2018,132300,Total
132400,111,0,0,45,0,0,0,0,993,2018,132400,Total
132500,777,90,0,0,57,0,0,0,1383,2018,132500,Total
132600,513,15,0,12,99,0,0,0,1005,2018,132600,Total
132700,51,0,0,144,24,0,0,0,1203,2018,132700,Total
132800,696,12,0,204,6,27,0,12,1908,2018,132800,Total
132900,576,6,6,0,90,0,0,0,1053,2018,132900,Total
133000,366,15,6,15,0,9,354,0,1365,2018,133000,Total
133100,363,12,0,24,72,0,0,0,945,2018,133100,Total
133200,27,0,0,78,30,0,0,0,873,2018,133200,Total
133300,87,0,0,36,24,0,0,0,1044,2018,133300,Total
133400,57,0,0,195,18,0,0,0,1587,2018,133400,Total
133500,279,9,0,102,0,0,0,0,1002,2018,133500,Total
133600,831,48,0,192,138,39,0,12,2082,2018,133600,Total
133700,24,0,0,48,30,0,0,0,837,2018,133700,Total
133800,36,0,0,60,0,0,0,0,834,2018,133800,Total
133900,12,0,0,0,6,0,0,0,123,2018,133900,Total
134000,207,6,0,0,0,6,195,0,756,2018,134000,Total
134100,15,0,0,60,0,0,0,0,669,2018,134100,Total
134200,612,21,0,75,72,0,0,0,1461,2018,134200,Total
134300,216,0,0,96,0,0,0,0,1197,2018,134300,Total
134400,618,57,0,204,117,15,0,15,1794,2018,134400,Total
134500,87,0,0,150,33,6,0,0,1404,2018,134500,Total
134600,519,60,0,0,12,0,0,0,1065,2018,134600,Total
