oareas,f A,f B,f C,f D,f E,f F,f G,f H,f I,f J,f K,f L,f M,f N,f O,f P,f Q,f R,f S,m A,m B,m C,m D,m E,m F,m G,m H,m I,m J,m K,m L,m M,m N,m O,m P,m Q,m R,m S
312800,82,0,33,3,10,8,14,34,0,8,0,0,1,3,0,21,0,4,2,169,0,79,8,59,16,10,21,0,8,0,0,2,4,0,7,0,4,1
312900,1,0,12,6,18,18,151,73,4,0,4,20,38,1,85,67,109,8,8,2,0,29,14,107,37,115,45,12,0,3,21,45,2,82,23,23,8,7
313000,36,0,3,0,6,0,0,0,1,0,0,2,1,0,0,0,13,0,0,75,0,8,0,35,0,0,0,3,0,0,2,2,0,0,0,3,0,0
313100,59,0,1,0,2,1,0,0,0,0,4,2,0,0,0,12,0,0,29,122,0,2,0,14,2,0,0,0,0,3,2,0,0,0,4,0,0,26
313200,4,0,18,5,13,1,27,39,4,0,0,0,13,1,2,88,149,4,18,8,0,44,11,77,2,21,23,12,0,0,0,15,2,2,30,32,4,16
313300,69,0,6,0,22,5,19,18,15,0,0,8,3,9,0,41,0,8,22,141,3,14,0,131,11,15,11,40,0,0,8,4,11,0,14,0,8,19
313400,20,0,14,1,11,0,0,7,2,0,0,2,35,1,0,62,10,0,2,42,0,34,2,65,0,0,4,6,0,0,2,41,2,0,21,2,0,1
313500,128,0,33,0,13,0,2,0,0,0,0,0,3,11,0,6,0,2,6,263,0,79,0,77,0,1,0,0,0,0,0,4,13,0,2,0,2,5
313600,64,0,6,0,11,1,14,0,1,2,0,6,3,0,0,31,0,2,0,131,0,14,0,65,2,10,0,3,2,0,6,4,0,0,10,0,2,0
313700,34,0,86,10,14,2,11,5,13,0,0,6,9,1,0,52,0,2,15,70,0,207,24,83,5,9,3,35,0,0,6,11,2,0,18,0,2,13
313800,11,0,14,0,32,2,9,10,11,0,0,6,1,1,0,88,28,25,8,23,0,34,0,191,5,7,6,30,0,0,6,2,2,0,30,6,23,7
313900,1,0,3,1,10,1,4,34,0,0,0,0,11,9,0,12,195,13,11,2,0,8,2,59,2,3,21,0,0,0,0,13,11,0,4,42,12,9
314000,2,0,0,0,6,0,2,0,9,0,2,31,1,11,0,15,149,32,6,5,0,0,0,35,0,1,0,25,0,1,32,2,13,0,5,32,30,5
314100,0,0,14,0,9,0,0,30,0,0,0,0,5,1,0,52,3,4,4,0,0,34,0,53,0,0,18,0,0,0,0,6,2,0,18,0,4,3
314200,2,0,1,0,10,0,4,0,0,0,0,12,25,38,0,281,51,10,22,5,0,2,0,59,0,3,0,0,0,0,12,30,45,0,97,11,10,19
314300,0,0,4,0,7,0,0,2,1,0,0,4,0,1,0,0,3,0,6,0,0,11,0,41,0,0,1,3,0,0,4,0,2,0,0,0,0,5
314500,13,0,1,5,17,2,27,0,1,0,0,0,3,7,0,3,92,0,22,28,0,2,11,101,5,21,0,3,0,0,0,4,9,0,1,20,0,19
314600,2,0,2,0,17,13,111,15,0,0,0,6,7,0,0,93,138,50,15,5,0,5,0,101,28,84,9,0,0,0,6,9,0,0,32,30,47,13
314700,34,0,4,0,24,2,35,56,0,0,0,8,1,3,0,62,0,4,6,70,0,11,0,143,5,27,34,0,0,0,8,2,4,0,21,0,4,5
314800,18,0,247,1,30,6,47,39,11,0,2,6,29,11,0,26,17,21,33,37,3,593,2,179,14,36,23,30,0,1,6,33,13,0,9,3,20,29
314900,0,0,14,0,11,2,0,26,0,0,2,0,51,0,0,93,10,4,8,0,0,34,0,65,5,0,15,0,0,1,0,60,0,0,32,2,4,7
315000,0,0,140,75,74,83,454,56,20,6,9,12,32,32,6,135,57,28,74,0,0,336,177,443,169,345,34,56,6,7,12,37,37,6,46,12,27,65
315100,34,0,4,0,8,0,7,0,3,0,0,0,16,0,0,78,0,0,6,70,0,11,0,47,0,5,0,9,0,0,0,18,0,0,27,0,0,5
315200,5,0,2,0,16,16,4,0,2,0,2,6,1,7,17,46,0,0,8,11,0,5,0,95,32,3,0,6,0,1,6,2,9,17,16,0,0,7
315300,5,0,14,0,24,16,23,17,0,0,12,0,9,0,0,83,24,2,4,11,0,34,0,143,32,18,10,0,0,8,0,11,0,0,28,5,2,3
315400,0,0,1,0,19,1,4,18,3,0,0,2,7,29,0,26,34,25,2,0,0,2,0,113,2,3,11,9,0,0,2,9,34,0,9,7,23,1
315500,50,0,6,0,24,1,4,10,2,0,2,4,11,5,0,62,86,2,15,103,0,14,0,143,2,3,6,6,0,1,4,13,6,0,21,18,2,13
